,submarket_name,cbsaid,building_rating_id,Density,Rent,Revenue,rating_bin,Rent_bin
3627,Glenwood Springs,24060.0,3,16,37.18855986496903,595.0169578395045,Medium,Medium Quality Expensive
3630,Glenwood/Creedmoor,39580.0,3,39,23.609895,920.7859050000001,Medium,Medium Quality Expensive
3640,Goddard/West,48620.0,3,11,18.140839,199.549229,Medium,Medium Quality Less Expensive
3642,Gold Coast/Old Town,16980.0,3,6,28.813603,172.881618,Medium,Medium Quality Expensive
3644,Golden Gate,34940.0,3,3,26.973569,80.92070700000001,Medium,Medium Quality Expensive
3654,Governor Park,41740.0,3,15,36.721129,550.816935,Medium,Medium Quality Expensive
3660,Gramercy Park,35614.0,3,122,62.02989,7567.6465800000005,Medium,Medium Quality Expensive
3675,Grand Junction,24300.0,3,20,20.558951401441295,411.1790280288259,Medium,Medium Quality Expensive
3679,Grand Prairie,19100.0,3,23,24.11113,554.55599,Medium,Medium Quality Expensive
3697,Grants Pass,24420.0,3,2,17.3297388816,34.6594777632,Medium,Medium Quality Less Expensive
3756,Greater Killeen,28660.0,3,13,28.094561,365.229293,Medium,Medium Quality Expensive
3770,Greater Myrtle Beach,34820.0,3,27,23.344226,630.294102,Medium,Medium Quality Expensive
3795,Greater South Bend,43780.0,3,10,16.793521,167.93520999999998,Medium,Medium Quality Less Expensive
3811,Greeley,24540.0,3,1,23.906357827503985,23.906357827503985,Medium,Medium Quality Expensive
3824,Greenbelt,47900.0,3,24,22.445369,538.688856,Medium,Medium Quality Expensive
3827,Greenbrier,47260.0,3,39,21.137525,824.363475,Medium,Medium Quality Expensive
3843,Greenspoint/IAH,26420.0,3,9,19.276875,173.491875,Medium,Medium Quality Less Expensive
3846,Greenspoint/N Belt West,26420.0,3,40,18.262798,730.51192,Medium,Medium Quality Less Expensive
3849,Greenup County,26580.0,3,1,16.317797,16.317797,Medium,Medium Quality Less Expensive
3852,Greenville,24780.0,3,7,17.00591567128226,119.04140969897583,Medium,Medium Quality Less Expensive
3855,Greenville,24820.0,3,2,17.888706849023997,35.777413698047994,Medium,Medium Quality Less Expensive
3861,Greenville-Anderson-Mauldin,24860.0,3,11,18.34784164062866,201.82625804691526,Medium,Medium Quality Less Expensive
3873,Greenwich Village,35614.0,3,41,62.664434,2569.241794,Medium,Medium Quality Expensive
3883,Greenwood Village,19740.0,3,42,24.597096,1033.0780320000001,Medium,Medium Quality Expensive
3906,Gulf Breeze,37860.0,3,8,24.58008,196.64064,Medium,Medium Quality Expensive
3945,Hampton Roads Center,47260.0,3,11,19.106424,210.17066400000002,Medium,Medium Quality Less Expensive
3960,Harbourview/N Suffolk,47260.0,3,15,23.228844,348.43266,Medium,Medium Quality Expensive
3965,Harlem/North Manhattan,35614.0,3,28,44.134782,1235.7738960000001,Medium,Medium Quality Expensive
